time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-06T01:23:57.450Z,29.1059,51.2736,10,4,mb,,92,6.041,0.98,us,us1000h7yt,2018-10-06T01:48:28.040Z,"18km SSE of Borazjan, Iran",earthquake,9.9,2,0.138,14,reviewed,us,us
2018-10-06T01:15:26.320Z,20.0219994,-155.5700073,11.13,2.54,ml,38,183,0.12,0.38,hv,hv70634342,2018-10-06T01:42:40.040Z,"10km E of Waimea, Hawaii",earthquake,1.61,1.47,4.05,5,automatic,hv,hv
2018-10-06T00:34:20.340Z,37.5412,15.022,7.74,4.6,mwr,,37,0.614,0.99,us,us1000h7ya,2018-10-06T01:50:50.693Z,"2km NNW of Misterbianco, Italy",earthquake,5.1,4.5,0.052,36,reviewed,us,us
2018-10-05T22:19:26.150Z,19.1481,-66.1718,30,2.98,md,4,307,0.9905,0.32,pr,pr2018278012,2018-10-06T00:58:47.510Z,"75km N of San Juan, Puerto Rico",earthquake,2.55,23.02,0.11,2,reviewed,pr,pr
2018-10-05T22:08:08.520Z,38.8526649,-122.7978363,1.46,2.59,md,30,104,0.01539,0.05,nc,nc73094101,2018-10-06T00:23:02.259Z,"7km WNW of Cobb, CA",earthquake,0.25,0.29,0.12,19,automatic,nc,nc
2018-10-05T21:49:49.846Z,69.493,-144.3017,0,2.9,ml,,,,0.73,ak,ak20271818,2018-10-05T22:26:35.040Z,"75km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-10-05T21:40:55.513Z,69.5386,-144.2585,6.5,3.4,ml,,,,0.73,ak,ak20271812,2018-10-05T21:56:39.040Z,"70km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-10-05T21:23:15.140Z,-22.1337,169.4453,10,4.8,mb,,94,1.91,0.89,us,us1000h7vl,2018-10-05T21:36:43.040Z,"173km ESE of Tadine, New Caledonia",earthquake,8.3,1.9,0.098,32,reviewed,us,us
2018-10-05T21:11:37.810Z,18.9978,-66.6045,47,2.89,md,7,311,0.6681,0.41,pr,pr2018278011,2018-10-06T00:58:34.118Z,"59km NNE of Arecibo, Puerto Rico",earthquake,4.31,9.66,0.12,5,reviewed,pr,pr
2018-10-05T21:09:40.750Z,19.0405,-67.0586,27,2.48,md,4,354,0.5754,0.21,pr,pr2018278010,2018-10-06T00:58:23.118Z,"59km N of Isabela, Puerto Rico",earthquake,9.32,12.94,0.42,2,reviewed,pr,pr
2018-10-05T21:08:27.890Z,-22.0465,169.6163,13.17,5.4,mww,,41,2.086,1.05,us,us1000h7v7,2018-10-05T22:19:04.040Z,"187km ESE of Tadine, New Caledonia",earthquake,6.8,3.1,0.065,23,reviewed,us,us
2018-10-05T19:10:46.750Z,20.8843,121.7961,136.97,4.2,mb,,117,2.538,1.36,us,us1000h7tk,2018-10-05T20:22:51.040Z,"11km NNW of Itbayat, Philippines",earthquake,10,2.4,0.147,15,reviewed,us,us
2018-10-05T18:20:50.410Z,18.8895,-67.271,10,2.93,md,7,327,0.4513,0.15,pr,pr2018278009,2018-10-05T22:46:51.570Z,"47km NNW of San Antonio, Puerto Rico",earthquake,1.4,0.66,0.14,6,reviewed,pr,pr
2018-10-05T18:16:10.810Z,-42.6573,78.5785,10,5.2,mb,,45,8.868,0.67,us,us1000h7qa,2018-10-05T18:35:10.040Z,"Mid-Indian Ridge",earthquake,10.4,1.8,0.069,68,reviewed,us,us
2018-10-05T17:54:06.420Z,61.3418,-146.8278,0,2.5,ml,,,,0.85,ak,ak20271525,2018-10-05T17:59:13.721Z,"34km NW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-05T16:53:52.571Z,69.561,-144.163,0,2.6,ml,,,,0.71,ak,ak20271499,2018-10-05T18:28:53.040Z,"66km SSW of Kaktovik, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-10-05T16:41:10.030Z,19.3783,-68.3295,49,3.2,md,3,348,1.8358,0.34,pr,pr2018278008,2018-10-05T22:46:01.105Z,"87km ENE of Miches, Dominican Republic",earthquake,8.05,28.98,0,3,reviewed,pr,pr
2018-10-05T16:38:29.330Z,18.2311,-68.666,136,3.15,md,13,304,0.4012,0.37,pr,pr2018278006,2018-10-05T18:24:05.040Z,"6km SSE of Boca de Yuma, Dominican Republic",earthquake,4.57,1.54,0.56,11,reviewed,pr,pr
2018-10-05T16:26:59.749Z,60.9888,-146.8132,20.6,2.9,ml,,,,0.58,ak,ak20271492,2018-10-05T18:22:07.040Z,"29km WSW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-05T15:13:28.150Z,-5.6244,-11.37,10,5.2,mb,,59,13.836,0.86,us,us1000h7kj,2018-10-05T15:29:57.040Z,"Ascension Island region",earthquake,12.5,1.9,0.103,31,reviewed,us,us
2018-10-05T14:59:44.630Z,-5.6465,-11.4955,10,5.6,mww,,34,3.64,1.44,us,us1000h7jc,2018-10-05T17:01:58.188Z,"Ascension Island region",earthquake,9.1,1.8,0.073,18,reviewed,us,us
2018-10-05T13:37:07.070Z,19.628,-65.3533,46,3.14,md,9,331,1.5076,0.16,pr,pr2018278007,2018-10-05T17:07:01.250Z,"142km NNE of Vieques, Puerto Rico",earthquake,2.11,11.19,0.46,4,reviewed,pr,pr
2018-10-05T13:29:37.550Z,36.7533333,-121.3536667,11.42,3.83,mw,87,42,0.07589,0.26,nc,nc73093981,2018-10-06T01:14:46.729Z,"5km SW of Tres Pinos, CA",earthquake,0.22,0.5,,8,reviewed,nc,nc
2018-10-05T11:34:12.080Z,44.2873333,-114.9598333,5.19,2.46,ml,8,98,0.825,0.17,mb,mb80312489,2018-10-05T18:06:45.219Z,"62km WSW of Challis, Idaho",earthquake,0.58,1.66,0.13,13,reviewed,mb,mb
2018-10-05T10:34:23.890Z,8.3967,-103.3064,10,4.6,mb,,210,10.213,1.17,us,us1000h7fq,2018-10-05T11:17:29.040Z,"Northern East Pacific Rise",earthquake,11.4,2,0.05,121,reviewed,us,us
2018-10-05T08:19:21.120Z,19.0895,-67.6991,12,2.9,md,7,251,0.8559,0.3,pr,pr2018278005,2018-10-05T11:17:04.629Z,"91km NW of San Antonio, Puerto Rico",earthquake,3.02,4.56,0.2,5,reviewed,pr,pr
2018-10-05T07:24:55.670Z,18.3725,-67.247,118,2.77,md,8,293,0.2544,0.34,pr,pr2018278003,2018-10-05T11:13:54.200Z,"3km N of Rincon, Puerto Rico",earthquake,4.57,1.68,0.13,6,reviewed,pr,pr
2018-10-05T06:57:56.660Z,69.6439,-144.2862,0.1,2.6,ml,,,,0.83,ak,ak20271404,2018-10-05T07:01:24.103Z,"60km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-10-05T06:51:00.141Z,65.532,-166.731,5.9,2.7,ml,,,,0.83,ak,ak20271402,2018-10-05T18:06:47.643Z,"86km SSW of Shishmaref, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2018-10-05T05:51:43.771Z,65.5581,-166.7653,6,3.4,ml,,,,0.84,ak,ak20271396,2018-10-05T17:55:42.718Z,"85km SSW of Shishmaref, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-10-05T05:20:50.030Z,-18.2865,-178.2449,546.62,4.2,mb,,115,3.563,0.54,us,us1000h7ec,2018-10-05T06:40:49.040Z,"265km N of Ndoi Island, Fiji",earthquake,11.6,8.1,0.085,39,reviewed,us,us
2018-10-05T03:56:58.250Z,18.69,-64.5245,46,3.12,md,4,346,1.4332,0.28,pr,pr2018278001,2018-10-06T01:52:02.040Z,"54km NNE of Road Town, British Virgin Islands",earthquake,5.87,17.21,0.17,3,reviewed,pr,pr
2018-10-05T02:35:43.209Z,61.4503,-150.2098,35.5,2.9,ml,,,,0.63,ak,ak20271361,2018-10-05T02:52:30.040Z,"15km WSW of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-05T01:56:35.820Z,-3.4337,149.6856,10,5,mb,,82,2.584,1.26,us,us1000h7di,2018-10-05T02:15:08.040Z,"155km SW of Kavieng, Papua New Guinea",earthquake,8.5,1.9,0.111,26,reviewed,us,us
2018-10-05T01:55:41.440Z,19.3371667,-155.1955,6.36,2.87,ml,52,78,0.04103,0.08,hv,hv70632562,2018-10-05T18:40:37.998Z,"11km SSE of Volcano, Hawaii",earthquake,0.23,0.4,0.208,44,reviewed,hv,hv
2018-10-05T01:46:01.210Z,-14.5368,-71.6018,10,5.3,mww,,60,3.657,1.34,us,us1000h7da,2018-10-05T18:54:42.975Z,"23km WSW of Checca, Peru",earthquake,7.7,1.9,0.071,19,reviewed,us,us
2018-10-05T01:16:34.210Z,18.9798,-67.3178,6,2.9,md,5,317,0.5524,0.07,pr,pr2018278000,2018-10-05T04:50:50.287Z,"58km NNW of San Antonio, Puerto Rico",earthquake,1.04,1.04,0.11,4,reviewed,pr,pr
2018-10-04T23:58:48.010Z,42.618,142.0556,12.05,5.4,mb,,33,1.015,0.84,us,us1000h7cn,2018-10-05T16:41:41.040Z,"37km E of Tomakomai, Japan",earthquake,6.9,3.3,0.027,457,reviewed,us,us
2018-10-04T23:41:42.220Z,17.672,-64.14,7,2.53,md,6,212,1.1306,0.23,pr,pr2018277012,2018-10-05T04:49:51.894Z,"60km E of Christiansted, U.S. Virgin Islands",earthquake,7.03,2.24,0.1,3,reviewed,pr,pr
2018-10-04T23:21:56.590Z,-22.8393,-66.3748,235.4,4.9,mb,,59,1.667,1.02,us,us1000h7c7,2018-10-04T23:34:54.040Z,"70km W of Abra Pampa, Argentina",earthquake,7.9,10.6,0.129,19,reviewed,us,us
2018-10-04T23:20:05.042Z,60.1648,-151.2089,60.7,2.6,ml,,,,0.52,ak,ak20271246,2018-10-04T23:25:58.061Z,"23km SSE of Cohoe, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-04T23:07:52.150Z,-5.9598,154.7495,166.94,4.8,mb,,93,3.117,1.06,us,us1000h7bz,2018-10-04T23:25:31.040Z,"90km WNW of Panguna, Papua New Guinea",earthquake,11,7.3,0.064,75,reviewed,us,us
2018-10-04T22:44:33.410Z,26.5746,129.431,10,5,mww,,68,1.068,1.72,us,us1000h7bt,2018-10-04T23:08:21.040Z,"144km E of Nago, Japan",earthquake,4.8,1.9,0.071,19,reviewed,us,us
2018-10-04T22:08:34.870Z,-1.2053,120.0587,10,4.5,mb,,87,2.411,1.28,us,us1000h7bb,2018-10-04T22:32:39.040Z,"40km SSE of Palu, Indonesia",earthquake,6.6,1.9,0.113,23,reviewed,us,us
2018-10-04T19:59:41.360Z,13.0716,-81.1105,12.27,4.7,mb,,43,3.233,0.55,us,us1000h78n,2018-10-04T20:14:54.040Z,"42km SE of Mountain, Colombia",earthquake,6.2,5.9,0.05,120,reviewed,us,us
2018-10-04T18:14:29.530Z,32.7348333,-118.3008333,10.45,2.96,ml,28,218,0.2389,0.21,ci,ci38315504,2018-10-05T13:51:57.827Z,"10km SSE of San Clemente Is. (SE tip), CA",earthquake,0.58,1.23,0.142,146,reviewed,ci,ci
2018-10-04T17:58:26.540Z,32.7376667,-118.3026667,12.97,3.27,ml,27,196,0.2358,0.28,ci,ci38315368,2018-10-04T21:02:25.551Z,"10km SSE of San Clemente Is. (SE tip), CA",earthquake,0.62,1.62,0.185,142,reviewed,ci,ci
2018-10-04T15:37:53.610Z,15.4274,-104.455,10,4.3,mb,,226,5.204,0.74,us,us1000h6zu,2018-10-05T14:35:52.040Z,"Off the coast of Michoacan, Mexico",earthquake,11.8,2,0.044,146,reviewed,us,us
2018-10-04T14:03:28.866Z,54.9124,-158.2689,25.3,3.7,ml,,,,0.53,ak,ak20270949,2018-10-04T17:14:38.832Z,"88km E of Chernabura Island, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2018-10-04T13:57:19.880Z,2.161,128.5938,10,4.5,mb,,161,1.846,0.75,us,us1000h6yd,2018-10-04T15:58:57.040Z,"80km NE of Tobelo, Indonesia",earthquake,9.4,2,0.127,18,reviewed,us,us
2018-10-04T13:29:18.660Z,19.4562,96.4059,50.52,4.5,mb,,113,1.432,0.73,us,us1000h6xu,2018-10-04T13:52:47.040Z,"36km SSE of Pyinmana, Burma",earthquake,8.4,10.6,0.145,14,reviewed,us,us
2018-10-04T13:12:56.329Z,69.4225,-144.1679,3.9,3.8,ml,,,,0.67,ak,ak20270862,2018-10-04T17:07:35.096Z,"67km SSW of Kaktovik, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-10-04T13:04:34.122Z,37.3425,-115.0416,6.1,2.9,ml,41,72.08,0.065,0.1232,nn,nn00659590,2018-10-04T17:06:46.495Z,"14km ESE of Alamo, Nevada",earthquake,,1.4,0.31,25,reviewed,nn,nn
2018-10-04T12:44:47.687Z,65.5797,-166.7619,9.2,3.6,ml,,,,0.66,ak,ak20270856,2018-10-04T17:00:55.883Z,"81km SSW of Shishmaref, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2018-10-04T11:44:14.630Z,32.7968333,-115.4501667,12.77,2.53,ml,41,41,0.008928,0.33,ci,ci37378794,2018-10-05T04:20:48.381Z,"7km WSW of Holtville, CA",earthquake,0.38,0.63,0.157,24,reviewed,ci,ci
2018-10-04T10:14:04.710Z,32.8101667,-115.455,7.68,2.55,ml,30,55,0.008436,0.27,ci,ci37378738,2018-10-04T18:59:07.380Z,"7km W of Holtville, CA",earthquake,0.48,0.87,0.194,25,automatic,ci,ci
2018-10-04T09:20:21.090Z,-3.0871,129.9527,26.14,4.6,mb,,105,2.299,1.12,us,us1000h6vz,2018-10-04T10:18:29.040Z,"118km ENE of Amahai, Indonesia",earthquake,6.1,6.6,0.108,26,reviewed,us,us
2018-10-04T08:47:10.890Z,44.7535,-110.9843333,9.78,2.69,ml,30,47,0.01661,0.18,uu,uu60299487,2018-10-04T14:23:49.270Z,"13km NE of West Yellowstone, Montana",earthquake,0.31,0.47,0.14,7,reviewed,uu,uu
2018-10-04T08:33:10.120Z,18.0898,-64.1876,66,3.03,md,12,173,1.0551,0.46,pr,pr2018277009,2018-10-04T11:41:41.979Z,"58km SE of Road Town, British Virgin Islands",earthquake,3.83,4.89,0.26,9,reviewed,pr,pr
2018-10-04T08:20:53.520Z,31.0667,131.5259,45.98,4.4,mb,,131,2.125,0.61,us,us1000h6vj,2018-10-04T08:37:45.040Z,"51km SSE of Kushima, Japan",earthquake,8.1,8.7,0.149,13,reviewed,us,us
2018-10-04T07:57:53.680Z,17.9815,-63.9876,133,4.11,md,25,162,0.9155,0.66,pr,pr2018277006,2018-10-04T08:30:03.252Z,"78km WNW of The Bottom, Bonaire, Saint Eustatius and Saba ",earthquake,4.68,3.11,0.35,25,reviewed,pr,pr
2018-10-04T07:47:06.200Z,51.7152,-173.3208,38.93,4.2,mb,,176,0.729,0.9,us,us1000h6v4,2018-10-04T16:48:53.195Z,"80km SE of Atka, Alaska",earthquake,12.7,10.8,0.066,64,reviewed,us,us
2018-10-04T07:30:00.842Z,61.2362,-150.6625,41.2,2.6,ml,,,,0.5,ak,ak20270810,2018-10-04T09:32:08.040Z,"40km W of Anchorage, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-04T07:14:28.460Z,18.8741,-67.9858,133,3.11,md,8,202,0.535,0.42,pr,pr2018277008,2018-10-04T11:41:14.779Z,"54km NE of Punta Cana, Dominican Republic",earthquake,6.23,3.46,0.31,6,reviewed,pr,pr
2018-10-04T07:08:17.070Z,36.9566,71.5667,129.71,4.4,mb,,73,0.577,0.5,us,us1000h6uq,2018-10-04T07:25:27.040Z,"26km N of Ishkashim, Tajikistan",earthquake,7.3,12.8,0.24,5,reviewed,us,us
2018-10-04T06:58:56.310Z,32.8111667,-115.4566667,11.91,2.52,ml,38,36,0.01016,0.26,ci,ci37378674,2018-10-04T18:06:45.896Z,"7km W of Holtville, CA",earthquake,0.29,0.41,0.168,68,reviewed,ci,ci
2018-10-04T06:17:30.290Z,22.12,120.4548,34.62,4.3,mb,,116,0.903,0.87,us,us1000h6ui,2018-10-04T06:56:35.040Z,"32km WNW of Hengchun, Taiwan",earthquake,8.5,7.6,0.116,21,reviewed,us,us
2018-10-04T05:07:20.030Z,-18.054,-178.6064,541.98,4.2,mb,,74,3.195,0.88,us,us1000h6u7,2018-10-04T07:26:42.040Z,"280km SE of Lambasa, Fiji",earthquake,11.8,8.8,0.056,87,reviewed,us,us
2018-10-04T04:16:21.000Z,-17.8648,-178.5383,579.32,5.5,mww,,36,3.249,1.05,us,us1000h6th,2018-10-04T19:32:38.040Z,"273km SE of Lambasa, Fiji",earthquake,10.3,6.5,0.069,20,reviewed,us,us
2018-10-04T03:55:17.520Z,-36.1573,52.5161,10,4.8,mb,,86,12.12,0.65,us,us1000h6ta,2018-10-04T04:11:06.040Z,"Southwest Indian Ridge",earthquake,10.5,1.6,0.139,16,reviewed,us,us
2018-10-04T03:46:57.000Z,18.9446,-64.0451,31,3.58,md,13,235,1.3195,0.37,pr,pr2018277000,2018-10-04T04:57:09.972Z,"83km NE of Road Town, British Virgin Islands",earthquake,3.65,27.14,0.19,12,reviewed,pr,pr
2018-10-04T03:41:33.020Z,56.0662,163.8376,11.54,5.1,mb,,73,4.291,1,us,us1000h6t5,2018-10-04T04:05:02.040Z,"86km ESE of Ust'-Kamchatsk Staryy, Russia",earthquake,6.4,3.7,0.029,377,reviewed,us,us
2018-10-04T03:11:57.986Z,69.5775,-144.1644,0.1,3.4,ml,,,,0.68,ak,ak20270640,2018-10-04T15:58:34.040Z,"66km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-04T03:00:13.720Z,68.8919,-147.7487,0.1,2.9,ml,,,,0.6,ak,ak20270632,2018-10-04T03:09:49.581Z,"124km NW of Arctic Village, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-04T02:54:26.800Z,69.5414,-143.8755,2.5,2.8,ml,,,,0.75,ak,ak20270626,2018-10-04T03:00:09.695Z,"66km S of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-10-04T02:07:22.310Z,19.1056,-67.9441,72,2.85,md,4,213,1.38,0.44,pr,pr2018277004,2018-10-04T09:32:49.670Z,"75km NE of Punta Cana, Dominican Republic",earthquake,5.34,8.87,0.32,4,reviewed,pr,pr
