FID,UUID,longitude,latitude,UUID_1,RECID,CREATEDATE,DISPORDER,SOIL_CONSI,BEDROCK_LI,BEDROCK_ER,BEDROCK_AT,BEDROCK_DE,STABLE_DEG,VARIATION_,AGGREGATE_,AGGREGATE1,AGGREGAT_1,AGGREGAT_2,AGGREGAT_3,AGGREGAT_4,AGGREGAT_5,AGGREGAT_6,AGGREGAT_7,DEAD_NUBER,DESTROY_HO,DESTROY_RO,DESTROY_CA,DANGER_LEV,DIRECT_LOS,INDIRECT_L,OTHER_DAMA,DISASTER_L,HARM_OBJEC,THREATEN_P,THREATEN_1,THREATEN_O,MONITOR_SU,PREVENTION,PHOTO_CODE,MAP_FLAG,COLLAPSE_I,MINE_SURVE,HAPPEN_DAT,HAPPEN_FLA,LONGTITUDE,LATITUDE,TOP_EVEVAT,BUTTOM_EVE,SLOPE_TYPE,COLLAPSE_T,STRATUM_ER,STRATUM_LI,ATTITUDE,TECTONIC_P,EARTHQUAKE,MICRO_LAND,LAND_USE_T,DISTRIBUTE,SLOPE_HEIG,SLOPE_LENG,SLOPE_WIDT,THICK,VOLUME,SCALE_LEVE,GRADIENT,ASPECT,ROCK_TEXTU,ROCK_THICK,YTLXZS,ROCK_LINPI,BELT_DEPTH,UNLOAD_FIS,SOIL_NAME,SOIL_COMPA,BCSM,POUMT,CZ1,JDF,JDM,WDF,WDM,POUMT_FILE,PMTX_FILEI,PMTX,YWBH,MEMO,RECID_NAME
0,0DC24EBAA61D49E59E3CC0DB48D6CCA8,111.930556000000000,36.804443999999997,0DC24EBAA61D49E59E3CC0DB48D6CCA8,10000661,2018/6/5 0:00:00,7, , , , ,0.000000000000000,"0,0,0","0,0,0",20.000000000000000,30.000000000000000,6.000000000000000,3000.000000000000000,45.000000000000000,90.000000000000000,"3,0,0,0","2,0,0","3,0,0", , ,0.000000000000000, ,"4,0,0,0",3.000000000000000, , ,"4,0,0,0","i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", ,0.000000000000000,"i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0","1,6,0,0,0,0",LD104BT（1-5）,"1,0", , ,2007/7/2 0:00:00,发生,36,111,830.000000000000000,780.000000000000000,自然岩质,滑移式,P2S、Q2,砂岩、粉质粘土,340°, ,8,"2,0,0,0","2,0,0,0,0,0", ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"0,0,0,0",0.000000000000000,0.000000000000000,"0,0,0,0",0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,"0,0,0,0", ,两渡矿区-LD104BT-2017.3.30  (2)_看图王(1).jpg,5°,55,50,48,16,c898a41008c64b04a5bfb11d41cba49c,62bc57975d5d46bca4fb7d309fffdd18,两渡矿区-LD104BT-2017.3.30  (2)_看图王.jpg,LD104BT,位于狼沟沟口西侧，因采煤形成的岩土层崩塌，坡体岩性为Q2粉质粘土，P2S灰色砂岩与泥岩，中等风化，节理裂缝发育。受崔家河井田煤采动影响，岩层活动松动，在雨水不间断冲蚀下发生山体崩塌，造成坡体植被破坏，同时为泥石流提供了潜在物源条件。,汾西矿业两渡煤矿
1,6E57DA52F114468FAF99316B41AF340A,111.930833000000010,36.806944000000001,6E57DA52F114468FAF99316B41AF340A,10000661,2018/6/5 0:00:00,8, , , , ,0.000000000000000,"3,0,0","3,0,0",20.000000000000000,40.000000000000000,7.000000000000000,5000.000000000000000,35.000000000000000,5.000000000000000,"3,0,0,0","1,0,0","1,0,0", , ,0.000000000000000, ,"0,0,0,0",10.000000000000000, , ,"4,0,0,0","i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",3,0.000000000000000,"i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,2,0,0","1,4,6,0,0,0",LD111BT（1-2）,"1,0", , ,2012/5/10 0:00:00,发生,36,111,840.000000000000000,782.000000000000000,自然岩质,拉裂式,P2S,砂岩、泥岩,290°, ,8,"1,0,0,0","4,0,0,0,0,0",795-815,20.000000000000000,21.000000000000000,50.000000000000000,2.000000000000000,2600.000000000000000,"4,0,0,0",85.000000000000000,5.000000000000000,"2,0,0,0",1.000000000000000,2.000000000000000,2.7*1.5*4,0.000000000000000,2.000000000000000, ,"0,0,0,0", ,两渡矿区-LD111BT-2017.3.31  (2)_看图王(1).jpg,14°,55,51,48,25,a750e7edb82245d9b3af8c768c310c4a,1511c53792234b3bafeb7531055237de,两渡矿区-LD111BT-2017.3.31  (2)_看图王.jpg,LD111BT,位于崔家沟中游南侧，坡体岩性为Q2粉质粘土，P2S灰绿色砂岩与泥岩，中等风化，节理裂缝发育。受采煤影响，中上部厚层砂岩在节理裂隙作用下发生山体崩塌，造成山体植被破坏，松散体为泥石流提供了潜在物源，坡脚紧邻崔家沟乡间道路，威胁对象为乡间道路及行人。,汾西矿业两渡煤矿
2,51403DC7E026421080188BC6EEE15C4D,111.929444000000000,36.806111000000001,51403DC7E026421080188BC6EEE15C4D,10000661,2018/6/5 0:00:00,18, , , , ,0.000000000000000,"0,0,0","0,0,0",40.000000000000000,50.000000000000000,1.500000000000000,3000.000000000000000,45.000000000000000,235.000000000000000,"3,0,0,0","2,0,0","2,0,0", , ,0.000000000000000, ,"4,0,0,0",1.000000000000000, , ,"4,0,0,0","i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", ,0.000000000000000,"i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0","0,0,0,0,0,0",LD110BT（1-6）,"1,0", , ,2009/8/1 0:00:00,发生,36,111,860.000000000000000,812.000000000000000,自然岩质,滑移式,P2s,砂岩,340, ,8,"2,0,0,0","2,0,0,0,0,0", ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"0,0,0,0",0.000000000000000,0.000000000000000,"0,0,0,0",0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,"0,0,0,0", ,两渡矿区-LD110BT-2017.3.30  (2)_看图王(1).jpg,5,55,46,48,22,ff23ee989fd04732be6bd1b4645e8a5f,24edf9aefe9d4655b42963df0f5b0fec,两渡矿区-LD110BT-2017.3.30  (2)_看图王.jpg,LD110BT,位于狼沟沟口东侧，自然岩质陡坡，受采煤及岩体自身节理裂隙影响，结构破碎、风化强烈，坡脚为土路，现无人类活动。,汾西矿业两渡煤矿
3,AC9B402AA8F24A7E974C79D34C705240,111.099722000000000,37.609999999999999,AC9B402AA8F24A7E974C79D34C705240,10000483,2018/3/14 0:00:00,1, , , , ,0.000000000000000,"3,0,0","3,0,0",80.000000000000000,2.000000000000000,1.500000000000000,100.000000000000000,35.000000000000000,75.000000000000000,"3,0,0,0","1,0,0","1,0,0", , ,2.000000000000000, ,"4,0,0,0",0.000000000000000, , ,"4,0,0,0","1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",10,30.000000000000000,"1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0","1,5,6,0,0,0",717-719,"1,0", , ,2016/8/6 0:00:00,发生,37,111,920.000000000000000,890.000000000000000,人工岩质,拉裂式,P1s,泥岩, , ,7,"2,0,0,0","6,0,0,0,0,0",890-920,30.000000000000000,45.000000000000000,100.000000000000000,3.000000000000000,13000.000000000000000,"3,0,0,0",60.000000000000000,75.000000000000000,"3,4,0,0",0.000000000000000,0.000000000000000, ,10.000000000000000,0.000000000000000, ,"0,0,0,0", ,005-2.jpg, ,05,59,36,36,6c26bfd2113249fca8e1b73691415380,56e7fb2fde1847a094f6ca162e68b023,005-1.jpg,005,位于水峪村附近的县道474，坡体高30m，宽100m，坡度60°，坡体岩性下部为泥页岩，上部为砂岩，时代为P1s，坡脚堆积少量崩积物，威胁过往行人和车辆。坡向75°。,汾西矿业水峪煤矿
4,0FC07D8BD7AA43319D59FA5F5E286027,112.894443999999990,37.368056000000003,0FC07D8BD7AA43319D59FA5F5E286027,10000458,2018/4/3 0:00:00,30, , , , ,0.000000000000000,"0,0,0","0,0,0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"0,0,0,0","0,0,0","0,0,0", , ,0.000000000000000, ,"4,0,0,0",0.000000000000000, , ,"0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,5.000000000000000,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0","1,6,0,0,0,0",BT17 太佳线01崩塌隐患,"1,0", , ,,隐患,37,112,1413.000000000000000,1400.000000000000000,自然岩质,拉裂式,p1s,砂泥岩,240,石千峰向斜北翼,8,"1,0,0,0","0,0,0,0,0,0",1413,13.000000000000000,15.000000000000000,200.000000000000000,1.000000000000000,1500.000000000000000,"4,0,0,0",80.000000000000000,79.000000000000000,"2,0,0,0",1.500000000000000,3.000000000000000,1*0.5*0.5,0.800000000000000,2.500000000000000, ,"0,0,0,0", ,BT17 (2).jpg,8,53,40,22,05,8c6b89c517964b899dd4c128bb9f11b8,de0211d8583e476b99789d88271a721b,BT17 (2).jpg,BT17,太佳线省道104 10公里处边坡陡峭，p1s砂泥岩节理裂隙发育，下方有挡墙，在削坡及降雨作用下易发生崩塌危机过往车辆。,焦煤集团杜儿坪煤矿
5,9B78720C29EE42A89B96AF50427A1B68,111.089167000000000,37.608055999999998,9B78720C29EE42A89B96AF50427A1B68,10000483,2018/3/15 0:00:00,19, ,砂岩,P1x, ,25.000000000000000,"1,0,0","1,0,0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"0,0,0,0","0,0,0","0,0,0", , ,0.000000000000000, ,"4,0,0,0",0.000000000000000, , ,"0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",20,100.000000000000000,"3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0","1,5,6,0,0,0",2740-2744,"1,0", , ,,隐患,37,111,918.000000000000000,900.000000000000000,人工土质,错段式,Q3,黄土, , , ,"1,0,0,0","0,0,0,0,0,0",905-918,18.000000000000000,20.000000000000000,50.000000000000000,3.000000000000000,3000.000000000000000,"4,0,0,0",60.000000000000000,75.000000000000000,"0,0,0,0",0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,粉土,"3,0,0,0", ,248QB-2_看图王.jpg, ,05,21,36,29,57b9ff25f0af46d1b140562de8625508,f32f779374d54f4aa0a02dee0dad36a2,248QB-1_看图王.jpg,248QB,坡体岩性顶部为Q3粉土，土质疏松，垂直节理发育，中下部偶有剥坠落现象，坡顶可见沿节理发育裂缝，雨季或振动易引起崩塌，威胁坡体下方的两户居民及一幢3层楼房。,汾西矿业水峪煤矿
6,CC276D2B2D694BCF9CF57D61E3AA7E96,112.825833000000000,37.379443999999999,CC276D2B2D694BCF9CF57D61E3AA7E96,10000458,2018/3/19 0:00:00,2, ,砂泥岩,C3t,160∠7,2.000000000000000,"0,0,0","0,0,0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"0,0,0,0","0,0,0","0,0,0", , ,0.000000000000000, ,"3,0,0,0",0.000000000000000, , ,"0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",10,500.000000000000000,"1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0","1,6,0,0,0,0",BT02热力站崩塌隐患,"1,0", , ,,隐患,37,112,1087.000000000000000,1070.000000000000000,自然岩质,拉裂式,C3t,砂泥岩,30,杜儿坪正断层上盘,8,"1,0,0,0","0,0,0,0,0,0",1075-1085,17.000000000000000,25.000000000000000,92.000000000000000,2.000000000000000,5000.000000000000000,"4,0,0,0",80.000000000000000,30.000000000000000,"2,0,0,0",2.000000000000000,2.000000000000000,2*1.5*1.5,2.000000000000000,2.000000000000000,粉土,"2,0,0,0", ,BT02 (2).jpg,5,49,33,22,46,5a8a219843244f7b8349fec4dfc1479f,d76258da90784947ab8c61c68545b659,BT02 (2).jpg,BT02,边坡陡峭，出露C3t砂泥岩，底部出露煤线，裂隙较发育，坡下有2m高挡墙，坡前为热力站。,焦煤集团杜儿坪煤矿
7,78B77AA50DF646A29DF7EF2F0BD6BDE3,112.855278000000000,37.375556000000003,78B77AA50DF646A29DF7EF2F0BD6BDE3,10000458,2018/3/19 0:00:00,3, , , , ,0.000000000000000,"3,0,0","3,0,0",130.000000000000000,2.000000000000000,3.200000000000000,289.000000000000000,60.000000000000000,165.000000000000000,"3,0,0,0","3,0,0","3,0,0", , ,0.000000000000000, ,"4,0,0,0",0.000000000000000, , ,"0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,10.000000000000000,"1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0","1,6,0,0,0,0",BT03,"1,0", , ,2014/8/1 0:00:00,发生,37,112,1171.000000000000000,1160.000000000000000,自然岩质,滑移式,C2b,砂岩,270, ,8,"2,0,0,0","0,0,0,0,0,0",1160-1171,11.000000000000000,15.000000000000000,180.000000000000000,2.000000000000000,540.000000000000000,"4,0,0,0",70.000000000000000,165.000000000000000,"4,0,0,0",2.000000000000000,3.000000000000000,1.5*0.8*0.4,1.500000000000000,2.000000000000000, ,"0,0,0,0", ,BT03 (2).jpg,9,51,19,22,32,53807b4159aa4b4592b2a15ccaa63aad,4ad890d3295e4038b6609d28b555f1b1,BT03 (2).jpg,BT03,坡体岩层节理裂隙发育，坡脚有碎石及松散堆积体，稳定性较差。,焦煤集团杜儿坪煤矿
8,1A2F3435EA124A7599DDDA01AB62F259,112.853333000000010,37.383333000000000,1A2F3435EA124A7599DDDA01AB62F259,10000458,2018/4/3 0:00:00,31, , , , ,0.000000000000000,"2,0,0","2,0,0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"0,0,0,0","0,0,0","0,0,0", , ,0.000000000000000, ,"4,0,0,0",0.000000000000000, , ,"0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,5.000000000000000,"c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0","1,6,0,0,0,0",BT18 太佳线崩塌隐患,"1,0", , ,,隐患,37,112,1438.000000000000000,1430.000000000000000,自然岩质,拉裂式,p1x,砂泥岩,130,石千峰向斜北翼,8,"1,0,0,0","0,0,0,0,0,0",1438,8.000000000000000,10.000000000000000,77.000000000000000,1.500000000000000,1000.000000000000000,"4,0,0,0",85.000000000000000,134.000000000000000,"2,0,0,0",2.500000000000000,2.000000000000000,1.5*1*0.5,1.000000000000000,3.000000000000000, ,"0,0,0,0", ,BT18(2).jpg,9,51,12,23,00,82ed06b02de54cac8d3047c04ff02227,ed13b538315f425284d440ae123ef93b,BT18(2).jpg,BT18,太佳线K9处砂岩节理发育，有碎石掉落。坡下挡墙高0.5-1m，上部风化破碎，威胁过往车辆。,焦煤集团杜儿坪煤矿
9,C1EA9EB7BFEC4212B2C24138FE644F57,112.493878000000000,35.797066999999998,C1EA9EB7BFEC4212B2C24138FE644F57,10000508,2018/3/19 0:00:00,1, , , , ,0.000000000000000,"3,0,0","3,0,0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"0,0,0,0","0,0,0","0,0,0", , ,0.000000000000000, ,"4,0,0,0",0.000000000000000, , ,"0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,25.000000000000000,"1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0","4,0,0,0,0,0",5146、5147、5148,"1,0", , ,,隐患,35,112,832.000000000000000,824.000000000000000,自然岩质,拉裂式,P2S1,泥质砂岩,165, ,6,"2,0,0,0","2,0,0,0,0,0",824～832,8.000000000000000,9.000000000000000,28.000000000000000,1.000000000000000,150.000000000000000,"4,0,0,0",77.000000000000000,242.000000000000000,"1,3,0,0",1.000000000000000,3.000000000000000,1.5*1.8*1,0.200000000000000,45.000000000000000, ,"0,0,0,0", ,BD004-2_副本2.jpg,2,29,37.96,47,49.44,f16162257c3e4e57ab199d1f43cb7de7,48abd15e701f46cf8bdec7481ecbafbe,BD004-2_副本.jpg,BD004,该崩塌隐患位于北岩矿区南部，卡西亚衣柜厂新建进场公路北侧，为修路切坡形成的裸露岩质边坡，坡脚距公路1.5m，主要威胁对象为过往行人车辆。,兰花集团北岩矿
